TIME_PERIOD;MEDIDAS;TERRITORIO;ACTIVIDAD_ECONOMICA;OBSERVACIONES
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Fabricación de otro material de transporte;2
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Edición;4
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Industria textil, confección de prendas de vestir, industria del cuero y del calzado;0
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Investigación y desarrollo;2
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;157
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Coquerías y refino de petróleo;0
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Agricultura, ganadería, caza y servicios relacionados con las mismas;42
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Actividades postales y de correos;1
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Actividades inmobiliarias;151
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Transporte terrestre y por tubería;375
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Industrias extractivas;2
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Fabricación de productos farmacéuticos;0
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Construcción;302
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;3
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Industria química;2
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Construcción;302
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Fabricación de productos metálicos, excepto maquinaria y equipo;22
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;"Actividades jurídicas y de contabilidad; actividades de las sedes centrales; actividades de consultoría de gestión empresarial";174
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Hostelería;1069
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Artes gráficas y reproducción de soportes grabados;19
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Actividades de servicios sociales;16
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;"Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos";35
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Fabricación de productos informáticos, electrónicos y ópticos;0
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Total;4514
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Educación;86
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Venta y reparación de vehículos de motor y motocicletas;103
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Actividades deportivas, recreativas y de entretenimiento;54
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Fabricación de productos de caucho y plásticos;1
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;"Fabricación de muebles; otras industrias manufactureras";3
03/2012;Empresa inscrita en la Seguridad Social;Lanzarote;Publicidad y estudios de mercado;11
