TIME_PERIOD;SEXO;EDAD;MEDIDAS;TERRITORIO;OBSERVACIONES
1999;Mujeres;95 años o más;Defunciones;El Hierro;3
1999;Mujeres;95 años o más;Defunciones;Canarias;246
1999;Mujeres;De 85 a 94 años;Defunciones;Tenerife;687
1999;Mujeres;De 85 a 94 años;Defunciones;Lanzarote;63
1999;Mujeres;De 85 a 94 años;Defunciones;La Palma;140
1999;Mujeres;De 85 a 94 años;Defunciones;La Gomera;18
1999;Mujeres;De 85 a 94 años;Defunciones;Gran Canaria;676
1999;Mujeres;De 85 a 94 años;Defunciones;Fuerteventura;23
1999;Mujeres;De 85 a 94 años;Defunciones;El Hierro;14
1999;Mujeres;De 85 a 94 años;Defunciones;Canarias;1621
1999;Mujeres;De 75 a 84 años;Defunciones;Tenerife;688
1999;Mujeres;De 75 a 84 años;Defunciones;Lanzarote;59
1999;Mujeres;De 75 a 84 años;Defunciones;La Palma;116
1999;Mujeres;De 75 a 84 años;Defunciones;La Gomera;19
1999;Mujeres;De 75 a 84 años;Defunciones;Gran Canaria;740
1999;Mujeres;De 75 a 84 años;Defunciones;Fuerteventura;21
1999;Mujeres;De 75 a 84 años;Defunciones;El Hierro;8
1999;Mujeres;De 75 a 84 años;Defunciones;Canarias;1651
1999;Mujeres;De 65 a 74 años;Defunciones;Tenerife;405
1999;Mujeres;De 65 a 74 años;Defunciones;Lanzarote;21
1999;Mujeres;De 65 a 74 años;Defunciones;La Palma;57
1999;Mujeres;De 65 a 74 años;Defunciones;La Gomera;7
1999;Mujeres;De 65 a 74 años;Defunciones;Gran Canaria;461
1999;Mujeres;De 65 a 74 años;Defunciones;Fuerteventura;24
1999;Mujeres;De 65 a 74 años;Defunciones;El Hierro;4
1999;Mujeres;De 65 a 74 años;Defunciones;Canarias;979
1999;Mujeres;De 5 a 14 años;Defunciones;Tenerife;2
1999;Mujeres;De 5 a 14 años;Defunciones;Lanzarote;1
1999;Mujeres;De 5 a 14 años;Defunciones;La Palma;0
1999;Mujeres;De 5 a 14 años;Defunciones;La Gomera;0
1999;Mujeres;De 5 a 14 años;Defunciones;Gran Canaria;3
1999;Mujeres;De 5 a 14 años;Defunciones;Fuerteventura;1
1999;Mujeres;De 5 a 14 años;Defunciones;El Hierro;0
1999;Mujeres;De 5 a 14 años;Defunciones;Canarias;7
1999;Mujeres;De 55 a 64 años;Defunciones;Tenerife;177
1999;Mujeres;De 55 a 64 años;Defunciones;Lanzarote;15
1999;Mujeres;De 55 a 64 años;Defunciones;La Palma;14
